period_date,period_year,period_month,month_name,quarter,sg_trade_season,cpi_index,cpi_yoy_pct,cpi_mom_pct,usd_sgd,cny_sgd,usd_cny_ratio,imports_sgd_bn,exports_sgd_bn,trade_balance_sgd_bn,ge_usd_budget_m,mindray_cny_budget_m
1999-01-01,1999,1,January,Q1,Year End / Q1,62.9,-0.0092,0.00131,1.6781,0.2027,8.28,12.99,5.96,-7.03,29.8,247.0
1999-02-01,1999,2,February,Q1,Year End / Q1,63.0,-0.0073,0.00078,1.7005,0.2054,8.28,12.0,5.41,-6.59,29.4,243.0
1999-03-01,1999,3,March,Q1,Asia Dry Season,62.8,-0.0052,-0.00191,1.7294,0.2089,8.28,15.24,6.87,-8.37,28.9,239.0
1999-04-01,1999,4,April,Q2,Asia Dry Season,63.0,-0.0032,0.00163,1.7134,0.207,8.28,15.25,6.77,-8.49,29.2,242.0
1999-05-01,1999,5,May,Q2,Asia Dry Season,63.1,0.0014,0.00144,1.7123,0.2068,8.28,15.01,6.73,-8.28,29.2,242.0
1999-06-01,1999,6,June,Q2,Monsoon Season,63.1,0.0013,-0.00063,1.7121,0.2068,8.28,15.74,7.01,-8.73,29.2,242.0
1999-07-01,1999,7,July,Q3,Monsoon Season,63.2,0.0016,0.00088,1.6965,0.2049,8.28,16.7,6.97,-9.73,29.5,244.0
1999-08-01,1999,8,August,Q3,Monsoon Season,63.2,0.0037,0.00039,1.6797,0.2029,8.28,16.51,6.96,-9.55,29.8,246.0
1999-09-01,1999,9,September,Q3,Monsoon Season,63.2,0.0043,-0.00024,1.6959,0.2049,8.28,16.44,7.62,-8.83,29.5,244.0
1999-10-01,1999,10,October,Q4,Year End / Q1,63.1,0.0051,-0.00047,1.6765,0.2025,8.28,16.96,7.64,-9.32,29.8,247.0
1999-11-01,1999,11,November,Q4,Year End / Q1,63.2,0.0036,0.00046,1.6704,0.2018,8.28,17.37,7.79,-9.58,29.9,248.0
1999-12-01,1999,12,December,Q4,Year End / Q1,63.2,0.0068,0.00062,1.6746,0.2023,8.28,17.93,7.99,-9.94,29.9,247.0
2000-01-01,2000,1,January,Q1,Year End / Q1,63.5,0.0091,0.00279,1.6733,0.2021,8.28,15.86,6.21,-9.65,29.9,247.0
2000-02-01,2000,2,February,Q1,Year End / Q1,63.8,0.0127,0.00302,1.7005,0.2054,8.28,15.56,6.46,-9.1,29.4,243.0
2000-03-01,2000,3,March,Q1,Asia Dry Season,63.6,0.0123,-0.00218,1.7152,0.2072,8.28,18.7,7.98,-10.72,29.2,241.0
2000-04-01,2000,4,April,Q2,Asia Dry Season,63.7,0.0111,0.00091,1.7097,0.2065,8.28,17.56,6.73,-10.83,29.2,242.0
2000-05-01,2000,5,May,Q2,Asia Dry Season,63.5,0.0052,-0.00229,1.7281,0.2088,8.28,18.67,7.6,-11.07,28.9,239.0
2000-06-01,2000,6,June,Q2,Monsoon Season,63.6,0.0078,0.00103,1.7278,0.2087,8.28,20.28,7.59,-12.69,28.9,240.0
2000-07-01,2000,7,July,Q3,Monsoon Season,63.9,0.0115,0.00325,1.7403,0.2102,8.28,19.87,7.99,-11.88,28.7,238.0
2000-08-01,2000,8,August,Q3,Monsoon Season,64.2,0.0162,0.00337,1.7201,0.2077,8.28,20.92,8.78,-12.14,29.1,241.0
2000-09-01,2000,9,September,Q3,Monsoon Season,64.2,0.0169,0.00015,1.738,0.2099,8.28,21.33,8.38,-12.95,28.8,238.0
2000-10-01,2000,10,October,Q4,Year End / Q1,64.3,0.0184,0.00049,1.7513,0.2115,8.28,21.4,8.79,-12.61,28.6,236.0
2000-11-01,2000,11,November,Q4,Year End / Q1,64.4,0.0199,0.00142,1.7468,0.211,8.28,21.04,8.35,-12.7,28.6,237.0
2000-12-01,2000,12,December,Q4,Year End / Q1,64.5,0.0206,0.00108,1.7364,0.2098,8.28,20.98,7.33,-13.66,28.8,238.0
2001-01-01,2001,1,January,Q1,Year End / Q1,64.8,0.0199,0.00239,1.7365,0.2098,8.28,17.61,6.75,-10.86,28.8,238.0
2001-02-01,2001,2,February,Q1,Year End / Q1,64.7,0.0131,-0.00123,1.7431,0.2106,8.28,17.95,6.66,-11.3,28.7,237.0
2001-03-01,2001,3,March,Q1,Asia Dry Season,64.8,0.0184,0.00116,1.7708,0.2139,8.28,19.12,7.85,-11.27,28.2,234.0
2001-04-01,2001,4,April,Q2,Asia Dry Season,65.0,0.0198,0.00177,1.8115,0.2189,8.28,17.49,6.64,-10.85,27.6,228.0
2001-05-01,2001,5,May,Q2,Asia Dry Season,64.7,0.0193,-0.00262,1.8135,0.2191,8.28,17.13,6.95,-10.18,27.6,228.0
2001-06-01,2001,6,June,Q2,Monsoon Season,64.3,0.0121,-0.00354,1.8157,0.2194,8.28,17.51,6.26,-11.25,27.5,228.0
2001-07-01,2001,7,July,Q3,Monsoon Season,64.7,0.013,0.00386,1.8237,0.2203,8.28,17.42,5.86,-11.56,27.4,227.0
2001-08-01,2001,8,August,Q3,Monsoon Season,64.7,0.0071,-0.00038,1.7618,0.2129,8.28,17.27,5.96,-11.31,28.4,235.0
2001-09-01,2001,9,September,Q3,Monsoon Season,64.6,0.0054,-0.0009,1.7484,0.2112,8.28,16.03,5.64,-10.39,28.6,237.0
2001-10-01,2001,10,October,Q4,Year End / Q1,64.4,0.0022,-0.00162,1.8089,0.2186,8.27,18.07,6.71,-11.37,27.6,229.0
2001-11-01,2001,11,November,Q4,Year End / Q1,64.3,-0.0022,-0.00136,1.8294,0.221,8.28,16.57,6.41,-10.16,27.3,226.0
2001-12-01,2001,12,December,Q4,Year End / Q1,64.2,-0.0059,-0.00133,1.8374,0.222,8.28,15.52,6.18,-9.35,27.2,225.0
2002-01-01,2002,1,January,Q1,Year End / Q1,64.1,-0.011,-0.00094,1.8388,0.2222,8.28,15.91,6.42,-9.49,27.2,225.0
2002-02-01,2002,2,February,Q1,Year End / Q1,64.3,-0.0062,0.0019,1.8314,0.2213,8.28,14.82,5.02,-9.8,27.3,226.0
2002-03-01,2002,3,March,Q1,Asia Dry Season,64.2,-0.0089,-0.00061,1.8287,0.2209,8.28,17.55,6.31,-11.24,27.3,226.0
